LichenID,IsolateID,Date_emerged,Radius_mm_day7,Radius_mm_day14,TaxonID,Notes
G1-10,G1-10-F3,2018-02-08,12,,,
G1-11,G1-11-F2,2018-02-01,30,45,,
G1-11,G1-11-F3,2018-02-01,26,45,,
G1-11,G1-11-F6,2018-02-01,32,45,,
G1-11,G1-11-F8,2018-02-01,36,45,,
G1-11,G1-11-F9,2018-02-01,11,45,,
G1-2,G1-2-F4,2018-02-01,14,32,Nemania_serpens_gen2,
G1-4,G1-4-F12,2018-02-08,18,,,
G1-5,G1-5-F11,2018-02-01,45,45,,
G1-5,G1-5-F3,2018-02-01,35,45,Sarcosomataceae_sp1,
G1-5,G1-5-F4,2018-02-01,34,45,,
G1-5,G1-5-F7,2018-02-08,14,,,
G1-5,G1-5-F9,2018-02-08,16,,,
G1-7,G1-7-F1,2018-02-01,45,45,,
G2-4,G2-4-F1,2018-02-08,18,,Sarcosomataceae_sp1_gen3,
G2-4,G2-4-F10,2018-02-01,30,45,Sarcosomataceae_sp1,
G2-4,G2-4-F12,2018-02-01,19,35,Xylaria_sp1,
G2-4,G2-4-F2,2018-02-08,14,,Nemania_serpens_gen1,
G2-4,G2-4-F3,2018-02-01,33,45,Sarcosomataceae_sp1_gen2,
G2-4,G2-4-F5,2018-02-08,31,,Biscogniauxia_mediterranea,
G2-4,G2-4-F9,2018-02-01,24,45,Sarcosomataceae_sp1,
G2-5,G2-5-F1,2018-02-08,8,,Nemania_serpens_gen3,
G2-5,G2-5-F10,2018-02-01,25,45,Sarcosomataceae_sp1_gen2,
G2-5,G2-5-F11,2018-02-08,7,,Nemania_serpens_gen2,
G2-5,G2-5-F12,2018-02-01,15,35,Xylaria_sp1,
G2-5,G2-5-F2,2018-02-01,29,45,Sarcosomataceae_sp1,
G2-5,G2-5-F3,2018-02-08,11,,Coniochaetaceae_sp2,
G2-5,G2-5-F4,2018-02-08,11,,Nemania_serpens_gen2,
G2-5,G2-5-F5,2018-02-01,18,28,Fimetariella_sp1,
G2-5,G2-5-F6,2018-02-01,13,29,Nemania_serpens_gen2,
G2-5,G2-5-F7,2018-02-01,9,14,Coniochaeta_ligniaria,
G2-5,G2-5-F8,2018-02-01,22,45,Sarcosomataceae_sp1_gen2,
G2-5,G2-5-F9,2018-02-01,21,45,Sarcosomataceae_sp1_gen2,
G2-8,G2-8-F6,2018-02-08,7,,Sordariomycetes_sp6,
G2-9,G2-9-F6,2018-02-08,6,,Lasiosphaeria_sp1,
G2-9,G2-9-F8,2018-02-01,8,9.3,Preussia_sp1,
G3-6,G3-6-F1,2018-02-08,13,,Nemania_serpens_gen1,
G3-8,G3-8-F3,2018-02-08,27,,Sarcosomataceae_sp1_gen2,
G3-8,G3-8-F6,2018-02-08,15,,Nemania_serpens_gen1,
G3-9,G3-9-F1,2018-02-08,16,,Nemania_serpens_gen1,
G3-9,G3-9-F10,2018-02-01,14,22,Sordariomycetes_sp1_gen1,
G3-9,G3-9-F5,2018-02-01,11,21,Sordariomycetes_sp1_gen1,
G4-10,G4-10-F4,2018-02-08,16,,Nemania_serpens_gen1,
G4-10,G4-10-F7,2018-02-01,26,45,Geopyxis_carbonaria,
G4-11,G4-11-F10,2018-02-08,3,,Coniochaetaceae_sp1,
G4-11,G4-11-F5,2018-02-08,9,,Pezizomycetes_sp6,
G5-1,G5-1-F10,2018-02-01,31,,Sarcosomataceae_sp1_gen2,
G5-1,G5-1-F4,2018-02-08,10,,,
G5-1,G5-1-F6,2018-02-08,12,,Sordariales_sp2,
G5-1,G5-1-F7,2018-02-01,27,42,Sarcosomataceae_sp1_gen2,
G5-10,G5-10-F11,2018-02-01,12,19,Cladosporium_sp1,
G5-10,G5-10-F8,2018-02-01,10,20,Cladosporium_sp1,
G5-2,G5-2-F1,2018-02-01,35,42,Sarcosomataceae_sp1_gen2,
G5-2,G5-2-F10,2018-02-08,29,,Sarcosomataceae_sp1,
G5-2,G5-2-F11,2018-02-01,18,,Sarcosomataceae_sp1_gen4,
G5-2,G5-2-F2,2018-02-01,24,,Sarcosomataceae_sp1_gen2,
G5-2,G5-2-F4,2018-02-01,42,42,Sarcosomataceae_sp1,
G5-2,G5-2-F6,2018-02-01,18,,Sarcosomataceae_sp1,
G5-2,G5-2-F7,2018-02-01,18,,Sarcosomataceae_sp1,
G5-3,G5-3-F1,2018-02-08,9,,Sarcosomataceae_sp1,
G5-3,G5-3-F3,2018-02-01,38,42,Sarcosomataceae_sp1,
G5-3,G5-3-F7,2018-02-01,42,42,Sarcosomataceae_sp1,
G5-4,G5-4-F5,2018-02-01,32,39,Pleosporales_sp1,
G5-7,G5-7-F10,2018-02-08,19,,Xylaria_sp1,
G5-8,G5-8-F12,2018-02-01,45,45,Pyronema_domesticum,
G5-8,G5-8-F4,2018-02-01,11,25,Cladosporium_sp1,
G5-8,G5-8-F8,2018-02-08,32,,Daldinia_sp1,