TaxonID,Class,Order,Family,Genus,Species,Notes
Cladosporium_sp1,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Davidiella,Cladosporium_sp1,previously S1-A ; Matches Cladosporium perangustum
Mycosphaerellaceae_sp1,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Davidiella,Mycosphaerellaceae_sp1,previously S2-A
Preussia_sp1,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_sp1,Matches Preussia intermedia
Pleosporales_sp1,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Pleosporales_sp1,
Dothideomycetes_sp1,,,,,Dothideomycetes_sp1,
Dothideomycetes_sp2,,,,,Dothideomycetes_sp2,
Peziza_arvernensis,Pezizomycetes,Pezizales,Pezizaceae,,Peziza_arvernensis,
Peziza_sp1,Pezizomycetes,Pezizales,Pezizaceae,,Peziza_sp1,
Peziza_varia,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_varia,
Pezizacaea_sp1_gen2,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Pezizacaea_sp1,Matches Tricharina ochroleuca
Pezizaceae_sp1_gen1,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Pezizaceae_sp1,Matches Tricharina ochroleuca
Geopyxis_carbonaria,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria,Matches Geopyxis carbonaria
Pyronema_domesticum,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,Matches Pyronema domesticum
Pithya_sp1,Pezizomycetes,Pezizales,Sacroscyphaceae,,Pithya_sp1,
Sarcosomataceae_sp1,Pezizomycetes,Pezizales,Sarcosomataceae,Plectania,Sarcosomataceae_sp1,Matches Plectania rhytidia
Sarcosomataceae_sp1_gen2,Pezizomycetes,Pezizales,Sarcosomataceae,Plectania,Sarcosomataceae_sp1,Matches Plectania rhytidia
Sarcosomataceae_sp1_gen3,Pezizomycetes,Pezizales,Sarcosomataceae,,Sarcosomataceae_sp1,Matches Plectania rhytidia
Sarcosomataceae_sp1_gen4,Pezizomycetes,Pezizales,Sarcosomataceae,,Sarcosomataceae_sp1,Matches Plectania rhytidia
Pezizales_sp1,Pezizomycetes,Pezizales,Sarcosomataceae,Pseudoplectania,Pezizales_sp1,
Nigrospora_sp1,Pezizomycetes,Trichosphaeriales,,,Nigrospora_sp1,
Pezizomycetes_sp1_gen1,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,Pezizomycetes_sp1,Matches Chromelosporium carneum
Pezizomycetes_sp1_gen2,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,Pezizomycetes_sp1,Matches Chromelosporium carneum
Pezizomycetes_sp2,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,Pezizomycetes_sp2,Matches Chromelosporium carneum
Pezizomycetes_sp3,Pezizomycetes,Pezizales,Pyronemataceae,,Pezizomycetes_sp3,
Pezizomycetes_sp4,Pezizomycetes,Pezizales,Pyronemataceae,,Pezizomycetes_sp4,
Pezizomycetes_sp5,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Pezizomycetes_sp5,Matches Tricharina ochroleuca
Pezizomycetes_sp6,Pezizomycetes,Pezizales,Sarcosomataceae,Pseudoplectania,Pezizomycetes_sp6,
Coniochaeta_ligniaria,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_ligniaria,Matches Coniochaeta ligniaria
Coniochaetaceae_sp1,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Coniochaetaceae_sp1,
Coniochaetaceae_sp2,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Coniochaetaceae_sp2,
Chaetomium_sp1,Sordariomycetes,Sordariales,,,Chaetomium_sp1,
Fimetariella_sp1,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Fimetariella_sp1,Matches Fimetariella rabenhorstii
Lasiosphaeria_sp1,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria_sp1,
Graphostroma_sp1,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Graphostroma_sp1,
Biscogniauxia_mediterranea,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,Matches Biscogniauxia mediterranea
Daldinia_sp1,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,Daldinia_sp1,Matches Daldinia loculata
Nemania_serpens,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens,Matches Nemania serpens
Nemania_serpens_gen1,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania serpens,Matches Nemania serpens
Nemania_serpens_gen2,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens,Matches Nemania serpens
Nemania_serpens_gen3,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens,Matches Nemania serpens
Xylaria_sp1,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp1,
Xylariaceae_sp1,Sordariomycetes,Xylariales,Xylariaceae,,Xylariaceae_sp1,
Sordariomycetes_sp1_gen1,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp1,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen2,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp2,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen3,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp3,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen4,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp4,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen5,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp5,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen6,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp6,Matches Fimetariella rabenhorstii
Sordariomycetes_sp1_gen7,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp7,Matches Fimetariella rabenhorstii
Sordariomycetes_sp2,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Sordariomycetes_sp8,Matches Fimetariella rabenhorstii
Sordariomycetes_sp4,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Sordariomycetes_sp4,
Sordariomycetes_sp5_gen1,Sordariomycetes,Coniochaetales,Coniochaetaceae,,Sordariomycetes_sp5,
Sordariomycetes_sp5_gen2,Sordariomycetes,Coniochaetales,Coniochaetaceae,,Sordariomycetes_sp5,
Sordariomycetes_sp6,Sordariomycetes,Sordariales,,,Sordariomycetes_sp6,
Lasiosphaeris_sp1,Sordariomycetes,,,,Lasiosphaeris_sp1,